round,reward,cumulative_reward,price_selected,produced,lambda_value,distribution_changed
705,0.0,65.39999999999999,0.0,False,8.367386688805604,False
706,0.0,65.39999999999999,0.0,False,8.33892618986409,False
707,0.0,65.39999999999999,0.0,False,8.310465690922575,False
708,0.0,65.39999999999999,0.0,False,8.28200519198106,False
709,0.0,65.39999999999999,0.0,False,8.253544693039546,False
710,0.0,65.39999999999999,0.0,False,8.22508419409803,False
711,0.0,65.39999999999999,0.0,False,8.196623695156516,False
712,0.0,65.39999999999999,0.0,False,8.168163196215001,False
713,0.0,65.39999999999999,0.0,False,8.139702697273487,False
714,0.0,65.39999999999999,0.0,False,8.111242198331972,False
715,0.0,65.39999999999999,0.0,False,8.082781699390457,False
716,0.0,65.39999999999999,0.0,False,8.054321200448943,False
717,0.0,65.39999999999999,0.0,False,8.025860701507428,False
718,0.0,65.39999999999999,0.0,False,7.997400202565912,False
719,0.0,65.39999999999999,0.0,False,7.968939703624397,False
720,0.0,65.39999999999999,0.0,False,7.940479204682881,False
721,0.0,65.39999999999999,0.0,False,7.912018705741366,False
722,0.0,65.39999999999999,0.0,False,7.88355820679985,False
723,0.0,65.39999999999999,0.0,False,7.855097707858334,False
724,0.0,65.39999999999999,0.0,False,7.826637208916819,False
725,0.0,65.39999999999999,0.0,False,7.798176709975303,False
726,0.0,65.39999999999999,0.0,False,7.769716211033788,False
727,0.0,65.39999999999999,0.0,False,7.741255712092272,False
728,0.0,65.39999999999999,0.0,False,7.7127952131507564,False
729,0.0,65.39999999999999,0.0,False,7.684334714209241,False
730,0.0,65.39999999999999,0.0,False,7.655874215267725,False
731,0.0,65.39999999999999,0.0,False,7.62741371632621,False
732,0.0,65.39999999999999,0.0,False,7.598953217384694,False
733,0.0,65.39999999999999,0.0,False,7.5704927184431785,False
734,0.0,65.39999999999999,0.0,False,7.542032219501663,False
735,0.0,65.39999999999999,0.0,False,7.513571720560147,False
736,0.0,65.39999999999999,0.0,False,7.485111221618632,False
737,0.0,65.39999999999999,0.0,False,7.456650722677116,False
738,0.0,65.39999999999999,0.0,False,7.428190223735601,False
739,0.0,65.39999999999999,0.0,False,7.399729724794085,False
740,0.0,65.39999999999999,0.0,False,7.371269225852569,False
741,0.0,65.39999999999999,0.0,False,7.342808726911054,False
742,0.0,65.39999999999999,0.0,False,7.314348227969538,False
743,0.0,65.39999999999999,0.0,False,7.285887729028023,False
744,0.0,65.39999999999999,0.0,False,7.257427230086507,False
745,0.0,65.39999999999999,0.0,False,7.228966731144991,False
746,0.0,65.39999999999999,0.0,False,7.200506232203476,False
747,0.0,65.39999999999999,0.0,False,7.17204573326196,False
748,0.0,65.39999999999999,0.0,False,7.143585234320445,False
749,0.0,65.39999999999999,0.0,False,7.115124735378929,False
750,0.0,65.39999999999999,0.0,False,7.0866642364374135,False
751,0.0,65.39999999999999,0.0,False,7.058203737495898,False
752,0.0,65.39999999999999,0.0,False,7.029743238554382,False
753,0.0,65.39999999999999,0.0,False,7.001282739612867,False
754,0.0,65.39999999999999,0.0,False,6.972822240671351,False
755,0.0,65.39999999999999,0.0,False,6.944361741729836,False
756,0.0,65.39999999999999,0.0,False,6.91590124278832,False
757,0.0,65.39999999999999,0.0,False,6.887440743846804,False
758,0.0,65.39999999999999,0.0,False,6.858980244905289,False
759,0.0,65.39999999999999,0.0,False,6.830519745963773,False
760,0.0,65.39999999999999,0.0,False,6.802059247022258,False
761,0.0,65.39999999999999,0.0,False,6.773598748080742,False
762,0.0,65.39999999999999,0.0,False,6.745138249139226,False
763,0.0,65.39999999999999,0.0,False,6.716677750197711,False
764,0.0,65.39999999999999,0.0,False,6.688217251256195,False
765,0.0,65.39999999999999,0.0,False,6.65975675231468,False
766,0.0,65.39999999999999,0.0,False,6.631296253373164,False
767,0.0,65.39999999999999,0.0,False,6.6028357544316485,False
768,0.0,65.39999999999999,0.0,False,6.574375255490133,False
769,0.0,65.39999999999999,0.0,False,6.545914756548617,False
770,0.0,65.39999999999999,0.0,False,6.517454257607102,False
771,0.0,65.39999999999999,0.0,False,6.488993758665586,False
